Country,Channel,EPG ID
ARGENTINA,ARGENTINA A24,ARGENTINA A24
ARGENTINA,ARGENTINA AMERICA TV,ARGENTINA AMERICA TV
ARGENTINA,ARGENTINA C5N,ARGENTINA C5N
ARGENTINA,ARGENTINA CANAL 26,ARGENTINA CANAL 26
ARGENTINA,ARGENTINA CINE AR,ARGENTINA CINE AR
ARGENTINA,ARGENTINA CIUDAD MAGAZINE,ARGENTINA CIUDAD MAGAZINE
ARGENTINA,ARGENTINA CRONICA,ARGENTINA CRONICA
ARGENTINA,ARGENTINA DEPORTV,ARGENTINA DEPORTV
ARGENTINA,ARGENTINA EL NUEVE,ARGENTINA EL NUEVE
ARGENTINA,ARGENTINA EL TRECE,ARGENTINA EL TRECE
ARGENTINA,ARGENTINA ENCUENTRO,ARGENTINA ENCUENTRO
ARGENTINA,ARGENTINA FOX SPORTS PREMIUM,ARGENTINA FOX SPORTS PREMIUM
ARGENTINA,ARGENTINA LN,ARGENTINA LN
ARGENTINA,ARGENTINA NET TV,ARGENTINA NET TV
ARGENTINA,ARGENTINA PAKA PAKA,ARGENTINA PAKA PAKA
ARGENTINA,ARGENTINA TELEFE,ARGENTINA TELEFE
ARGENTINA,ARGENTINA TN,ARGENTINA TN
ARGENTINA,ARGENTINA TNT SPORTS,ARGENTINA TNT SPORTS
ARGENTINA,ARGENTINA TV PUBLICA,ARGENTINA TV PUBLICA
ARGENTINA,ARGENTINA TYC SPORTS,ARGENTINA TYC SPORTS
ARGENTINA,ARGENTINA VOLVER,ARGENTINA VOLVER
CHILE,CHILE 13C,CHILE 13C
CHILE,CHILE 24 HORAS,CHILE 24 HORAS
CHILE,CHILE CANAL 13,CHILE CANAL 13
CHILE,CHILE CDO BASICO,CHILE CDO BASICO
CHILE,CHILE CDO PREMIUM,CHILE CDO PREMIUM
CHILE,CHILE CHILEVISION,CHILE CHILEVISION
CHILE,CHILE CNN,CHILE CNN
CHILE,CHILE ETC TV,CHILE ETC TV
CHILE,CHILE LA RED,CHILE LA RED
CHILE,CHILE MEGA,CHILE MEGA
CHILE,CHILE NTV,CHILE NTV
CHILE,CHILE REC TV,CHILE REC TV
CHILE,CHILE TELECANAL,CHILE TELECANAL
CHILE,CHILE TELETRAK,CHILE TELETRAK
CHILE,CHILE TNT SPORTS,CHILE TNT SPORTS
CHILE,CHILE TNT SPORTS 2,CHILE TNT SPORTS 2
CHILE,CHILE TNT SPORTS 3,CHILE TNT SPORTS 3
CHILE,CHILE TV+,CHILE TV+
CHILE,CHILE TVN,CHILE TVN
CHILE,CHILE VIA X,CHILE VIA X
CHILE,CHILE ZONA LATINA,CHILE ZONA LATINA
